"A00","Colera"
"G453","Amaurosis fugax"
"G454","Amnesia globale transitoria"
"G458","Altri attacchi cerebrovascolari ischemici transitori e sindromi correlate"
"G459","Attacchi cerebrovascolari ischemici transitori non specificati"
"G460","Sindrome dell'arteria cerebrale media (I66 0 )"
"G461","Sindrome dell'arteria cerebrale anteriore (I66 1 )"
"G462","Sindrome dell'arteria cerebrale posteriore (I66 2 )"
"G463","Sindromi ictali del tronco cerebrale (I60 I67 )"
"G464","Sindrome ictale cerebellare (I60 I67 )"
"G465","Sindrome lacunare motoria pura (I60 I67 )"
"G466","Sindrome lacunare sensoriale pura (I60 I67 )"
"G467","Altre sindromi lacunari (I60 I67 )"
"G468","Altre sindromi vascolari cerebrali in malattie cerebrovascolari (I60 I67 )"
"G470","Disturbi dell'inizio e del mantenimento del sonno (insonnie)"
"G471","Disturbi di eccessiva sonnolenza (ipersonnie)"
"G472","Disturbi del ritmo sonno veglia"
"G473","Apnea del sonno"
"G474","Narcolessia e cataplessia"
"G478","Altri disturbi del sonno"
"G479","Disturbo del sonno non specificato"
"G500","Nevralgia trigeminale"
"G501","Algia facciale atipica"
"G508","Altri disturbi del nervo trigemino"
"G509","Disturbo del nervo trigemino non specificato"
"G510","Paralisi di Bell"
"G511","Ganglionite genicolata"
"G512","Sindrome di Melkersson"
"G513","Emispasmo facciale clonico"
"G514","Miochimia facciale"
"G518","Altri disturbi del nervo facciale"
"G519","Disturbo del nervo facciale non specificato"
"G520","Disturbi del nervo olfattorio"
"G521","Disturbi del nervo glossofaringeo"
"G522","Disturbi del nervo vago"
"G523","Disturbi del nervo ipoglosso"
"G527","Disturbi di più nervi cranici"
"G528","Disturbi di altri nervi cranici specificati"
"G529","Disturbo di nervo cranico non specificato"
"G530","Nevralgia post zosteriana (B02 2 )"
"G531","Paralisi multiple di nervi cranici in malattie infettive e parassitarie classificate altrove (A00 B99 )"
"G532","Paralisi multiple di nervi cranici nella sarcoidosi (D86 8 )"
"G533","Paralisi multiple di nervi cranici in malattie neoplastiche (C00 D48 )"
"G538","Altri disturbi di nervi cranici in altre malattie classificate altrove"
"G540","Disturbi del plesso brachiale"
"G541","Disturbi del plesso lombosacrale"
"G542","Disturbi delle radici cervicali non classificati altrove"
"G543","Disturbi delle radici toraciche non classificati altrove"
"G544","Disturbi delle radici lombosacrali non classificati altrove"
"G545","Amiotrofia nevralgica"
"G546","Sindrome dell'arto fantasma con dolore"
"G547","Sindrome dell'arto fantasma senza dolore"
"G548","Altri disturbi dei plessi e delle radici nervose"
"G549","Disturbo dei plessi e delle radici nervose, non specificato"
"G550","Compressioni delle radici nervose e dei plessi in malattie neoplastiche (C00 D48 )"
"G551","Compressioni delle radici nervose e dei plessi in disturbi dei dischi intervertebrali (M50 M51 )"
"G552","Compressioni delle radici nervose e dei plessi in spondilosi (M47   )"
"G553","Compressioni delle radici nervose e dei plessi in altre dorsopatie (M45 M46 , M48   , M53 M54 )"
"G558","Compressioni delle radici nervose e dei plessi in altre malattie classificate altrove"
"G560","Sindrome del tunnel carpale"
"G561","Altre lesioni del nervo mediano"
"G562","Lesione del nervo ulnare"
"G563","Lesione del nervo radiale"
"G564","Causalgia"
"G568","Altre mononeuropatie dell'arto superiore"
"G569","Mononeuropatia dell'arto superiore non specificata"
"G570","Lesione del nervo sciatico"
"G571","Meralgia parestesica"
"G572","Lesione del nervo femorale"
"G573","Lesione del nervo popliteo laterale"
"G574","Lesione del nervo popliteo mediale"
"G575","Sindrome del tunnel tarsale"
"G576","Lesione del nervo plantare"
"G578","Altre mononeuropatie dell'arto inferiore"
"G579","Mononeuropatia dell'arto inferiore non specificata"
"G580","Neuropatia intercostale"
"G587","Mononevrite di sedi multiple"
"G588","Altre mononeuropatie specificate"
"G589","Mononeuropatia non specificata"
"G590","Mononeuropatia diabetica (E10 E14  con quarto carattere comune  4)"
"G598","Altre mononeuropatie in malattie classificate altrove"
"G600","Neuropatia ereditaria motoria e sensoriale"
"G601","Malattia di Refsum"
"G602","Neuropatia associata ad eredoatassia"
"G603","Neuropatia progressiva idiopatica"
"G608","Altre neuropatie ereditarie e idiopatiche"
"G609","Neuropatia ereditaria e idiopatica non specificata"
"G610","Sindrome di Guillain Barre"
"G611","Neuropatia da siero"
"G618","Altre polineuropatie infiammatorie"
"G619","Polineuropatia infiammatoria non specificata"
"G620","Polineuropatia da farmaci"
"G621","Polineuropatia alcolica"
"G622","Polineuropatia da altri agenti tossici"
"G628","Altre polineuropatie specificate"
"G629","Polineuropatia non specificata"
"G630","Polineuropatia in malattie infettive e parassitarie classificate altrove"
"G631","Polineuropatia in malattie neoplastiche (C00 D48 )"
"G632","Polineuropatia diabetica (E10 E14  con quarto carattere comune  4)"
"G633","Polineuropatia in altre malattie endocrine e metaboliche"
"G634","Polineuropatia in deficit nutrizionale (E40 E64 )"
"G635","Polineuropatia in malattie sistemiche del connettivo (M30 M35 )"
"G636","Polineuropatia in altre malattie muscolo scheletriche (M00 M25 , M40 M96 )"
"G638","Polineuropatia in altre malattie classificate altrove"
"G640","Altri disturbi del sistema nervoso periferico"
"G700","Miastenia grave"
"G701","Disturbi neuromuscolari tossici"
"G702","Miastenia congenita e dello sviluppo"
"G708","Altri disturbi neuromuscolari specificati"
"G709","Disturbi neuromuscolari non specificati"
"G710","Distrofia muscolare"
"G711","Disturbi miotonici"
"G712","Miopatie congenite"
"G713","Miopatia mitocondriale non classificata altrove"
"G718","Altre malattie primitive dei muscoli"
"G719","Malattie primitive dei muscoli non specificate"
"G720","Miopatia da farmaci"
"G721","Miopatia alcolica"
"G722","Miopatia da altri agenti tossici"
"G723","Paralisi periodica"
"G724","Miopatia infiammatoria non classificata altrove"
"G728","Altre miopatie specificate"
"G729","Miopatia non specificata"
"G730","Sindromi miasteniche in malattie endocrine"
"G731","Sindrome di Eaton Lambert (C80 )"
"G732","Altre sindromi miasteniche in malattie neoplastiche (C00 D48 )"
"G733","Sindromi miasteniche in altre malattie classificate altrove"
"G734","Miopatia in malattie infettive e parassitarie classificate altrove"
"G735","Miopatia in malattie endocrine"
"G736","Miopatia in malattie metaboliche"
"G737","Miopatia in altre malattie classificate altrove"
"G800","Paralisi cerebrale spastica"
"G801","Diplegia spastica"
"G802","Emiplegia infantile"
"G803","Paralisi cerebrale discinetica"
"G804","Paralisi cerebrale atassica"
"G808","Altra paralisi cerebrale infantile"
"G809","Paralisi cerebrale infantile non specificata"
"G810","Emiplegia flaccida"
"G811","Emiplegia spastica"
"G819","Emiplegia non specificata"
"G820","Paraplegia flaccida"
"G821","Paraplegia spastica"
"G822","Paraplegia non specificata"
"G823","Tetraplegia flaccida"
"G824","Tetraplegia spastica"
"G825","Tetraplegia non specificata"
"G830","Diplegia degli arti superiori"
"G831","Monoplegia di arto inferiore"
"G832","Monoplegia dell'arto superiore"
"G833","Monoplegia non specificata"
"G834","Sindrome della cauda equina"
"G838","Altre sindromi paralitiche specificate"
"G839","Sindrome paralitica non specificata"
"G900","Neuropatia autonomica periferica idiopatica"
"G901","Disautonomia familiare (Riley Day)"
"G902","Sindrome di Horner"
"G903","Degenerazione multisistemica"
"G908","Altri disturbi del sistema nervoso autonomo"
"G909","Disturbo del sistema nervoso autonomo non specificato"
"G910","Idrocefalo comunicante"
"G911","Idrocefalo ostruttivo"
"G912","Idrocefalo normoteso"
"G913","Idrocefalo post traumatico non specificato"
"G918","Altra forma di idrocefalo"
"G919","Idrocefalo non specificato"
"G920","Encefalopatia tossica"
"G930","Cisti cerebrali"
"G931","Danno encefalico anossico non classificato altrove"
"G932","Ipertensione endocranica benigna"
"G933","Sindrome di affaticamento post virale"
"G934","Encefalopatia non specificata"
"G935","Compressione dell’encefalo"
"G936","Edema cerebrale"
"G937","Sindrome di Reye"
"G938","Altri disturbi dell’encefalo, specificati"
"G939","Disturbo dell’encefalo non specificato"
"G940","Idrocefalo in malattie infettive e parassitarie classificate altrove (A00 B99 )"
"G941","Idrocefalo in malattie neoplastiche (C00 D48)"
"G942","Idrocefalo in altre malattie classificate altrove"
"G948","Altri disturbi specificati dell'encefalo in malattie classificate altrove"
"G950","Siringomielia e siringobulbia"
"G951","Mielopatie vascolari"
"G952","Compressione midollare non specificata"
"G958","Altre malattie specificate del midollo spinale"
"G959","Malattia del midollo spinale non specificata"
"G960","Liquorrea"
"G961","Disturbi delle meningi non classificati altrove"
"G968","Altri disturbi specificati del sistema nervoso centrale"
"G969","Disturbo del sistema nervoso centrale non specificato"
"G970","Perdita di liquor cerebrospinale dopo puntura lombare"
"G971","Altra reazione secondaria a puntura lombare"
"G972","Ipotensione intracranica post derivazione ventricolare"
"G978","Altri disturbi iatrogeni del sistema nervoso"
"G979","Disturbi iatrogeno del sistema nervoso, non specificato"
"G980","Altri disturbi del sistema nervoso non classificati altrove"
"G990","Neuropatia del sistema nervoso autonomo in malattie endocrine e"
"G991","Altri disturbi del sistema nervoso autonomo in altre malattie classificate altrove"
"G992","Mielopatia in malattie classificate altrove"
"G998","Altre malattie specificate del sistema nervoso in malattie classificate altrove"
"H000","Orzaiolo ed altra infiammazione profonda della palpebra"
"H001","Calazio"
"H010","Blefarite"
"H011","Dermatosi non infettive della palpebra"
"H018","Altra infiammazione specificata della palpebra"
"H019","Infiammazione palpebrale non specificata"
"H020","Entropion e trichiasi della palpebra"
"H021","Ectropion  della palpebra"
"H022","Lagoftalmo"
"H023","Blefarocalasia"
"H024","Ptosi palpebrale"
"H025","Altri disturbi funzionali della palpebra"
"H026","Xantelasma palpebrale"
"H027","Altri disturbi degenerativi della palpebra e della regione perioculare"
"H028","Altri disturbi specificati della palpebra"
"H029","Disturbo palpebrale non specificato"
"H030","Infestazione parassitaria della palpebra in malattie classificate altrove"
"H031","Interessamento palpebrale in altre malattie infettive classificate altrove"
"H038","Interessamento palpebrale in altre malattie classificate altrove "
"H040","Dacrioadenite"
"H041","Altri disturbi di ghiandola lacrimale"
"H042","Epifora"
"H043","Infiammazione acuta e non specificata delle vie lacrimali"
"H044","Infiammazione cronica delle vie lacrimali"
"H045","Stenosi ed insufficienza delle vie lacrimali"
"H046","Altre affezioni delle vie lacrimali"
"H048","Altri disturbi dell'apparato lacrimale"
"H049","Disturbo dell'apparato lacrimale non specificato"
"H050","Infiammazione acuta dell'orbita"
"H051","Disturbi infiammatori cronici dell'orbita"
"H052","Condizioni morbose esoftalmiche"
"H053","Deformazione dell'orbita"
"H054","Enoftalmo"
"H055","Ritenzione di corpo estraneo intraoculare (di vecchia data) secondaria  a ferita penetrante dell'orbita"
"H058","Altri disturbi dell'orbita"
"H059","Disturbo dell'orbita non specificato"
"H060","Disturbi dell'apparato lacrimale in malattie classificate altrove"
"H061","Infestazione parassitaria dell'orbita in malattie classificate altrove"
"H062","Esoftalmo distiroideo (E05   )"
"H063","Altri disturbi dell'orbita in malattie classificate altrove"
"H100","Congiuntivite mucopurulenta"
"H101","Congiuntivite atopica acuta"
"H102","Altra congiuntivite acuta"
"H103","Congiuntivite acuta non specificata"
"H104","Congiuntivite cronica"
"H105","Blefarocongiuntivite"
"H108","Altre congiuntiviti"
"H109","Congiuntivite non specificata"
"H110","Pterigio"
"H111","Depositi e degenerazioni della congiuntiva:"
"H112","Cicatrici congiuntivali"
"H113","Emorragia congiuntivale"
"H114","Cisti ed altri disturbi vascolari congiuntivali"
"H118","Altri disturbi specificati della congiuntiva"
"H119","Disturbo della congiuntiva non specificato"
"H130","Filariasi della congiuntiva (B74   )"
"H131","Congiuntivite in malattie infettive e parassitarie classificate altrove"
"H132","Congiuntivite in altre malattie classificate altrove"
"H133","Pemfigoide oculare (L12   )"
"H138","Altri disturbi della congiuntiva in malattie classificate altrove"
"H150","Sclerite"
"H151","Episclerite"
"H158","Altri disturbi della sclera"
"H159","Disturbo della sclera non specificato"
"H160","Ulcera corneale"
"H161","Altre cheratiti superficiali senza congiuntivite"
"H162","Cheratocongiuntivite"
"H163","Cheratite interstiziale e profonda"
"H164","Neovascolarizzazione corneale"
"H168","Altre cheratiti"
"H169","Cheratite non specificata"
"H170","Leucoma aderente"
"H171","Altra opacita' corneale centrale"
"H178","Altre opacita' e cicatrici corneali"
"H179","Cicatrice ed opacita' corneali non specificate"
"H180","Pigmentazioni e depositi corneali"
"H181","Cheratopatia bollosa"
"H182","Altro edema corneale"
"H183","Alterazioni nelle membrane della cornea"
"H184","Degenerazione corneale"
"H185","Distrofie corneali ereditarie"
"H186","Cheratocono"
"H187","Altre deformazioni corneali"
"H188","Altri disturbi specificati della cornea"
"H189","Disturbo della cornea non specificato"
"H190","Sclerite ed episclerite in malattie classificate altrove"
"H191","Cheratite e cheratocongiuntivite erpetiche (B00 5 )"
"H192","Cheratite e cheratocongiuntivite in altre malattie infettive e parassitarie classificate altrove"
"H193","Cheratite e cheratocongiuntivite in altre malattie classificate altrove"
"H198","Altri disturbi della sclera e della cornea in malattie classificate altrove"
"H200","Iridociclite acuta e subacuta"
"H201","Iridociclite cronica"
"H202","Uveite facoanafilattica"
"H208","Altre iridocicliti"
"H209","Iridociclite non specificata"
"H210","Ifema"
"H211","Altri disturbi vascolari dell'iride e del corpo ciliare"
"H212","Degenerazione dell'iride e del corpo ciliare"
"H213","Cisti dell'iride, del corpo ciliare e della camera anteriore"
"H214","Membrane pupillari"
"H215","Altre aderenze e rotture dell'iride e del corpo ciliare"
"H218","Altri disturbi specificati dell'iride e del corpo ciliare"
"H219","Disturbo dell'iride e del corpo ciliare non specificato"
