"A00","Cholera"
"G950","Syringomyelie und Syringobulbie"
"G951","Vaskuläre Myelopathien"
"G9510","Nichttraumatische spinale Blutung"
"G9518","Sonstige vaskuläre Myelopathien"
"G952","Rückenmarkkompression, nicht näher bezeichnet"
"G958","Sonstige näher bezeichnete Krankheiten des Rückenmarkes"
"G9580","Harnblasenlähmung bei Schädigung des oberen motorischen Neurons [UMNL]"
"G9581","Harnblasenlähmung bei Schädigung des unteren motorischen Neurons [LMNL]"
"G9582","Harnblasenfunktionsstörung durch spinalen Schock"
"G9583","Spinale Spastik der quergestreiften Muskulatur"
"G9584","Detrusor-Sphinkter-Dyssynergie bei Schädigungen des Rückenmarkes"
"G9585","Deafferentierungsschmerz bei Schädigungen des Rückenmarkes"
"G9588","Sonstige näher bezeichnete Krankheiten des Rückenmarkes"
"G959","Krankheit des Rückenmarkes, nicht näher bezeichnet"
"G96","Sonstige Krankheiten des Zentralnervensystems"
"G960","Austritt von Liquor cerebrospinalis"
"G961","Krankheiten der Meningen, anderenorts nicht klassifiziert"
"G968","Sonstige näher bezeichnete Krankheiten des Zentralnervensystems"
"G969","Krankheit des Zentralnervensystems, nicht näher bezeichnet"
"G97","Krankheiten des Nervensystems nach medizinischen Maßnahmen, anderenorts nicht klassifiziert"
"G970","Austritt von Liquor cerebrospinalis nach Lumbalpunktion"
"G971","Sonstige Reaktion auf Spinal- und Lumbalpunktion"
"G972","Intrakranielle Druckminderung nach ventrikulärem Shunt"
"G978","Sonstige Krankheiten des Nervensystems nach medizinischen Maßnahmen"
"G9780","Postoperative Liquorfistel"
"G9781","Postoperativer (zerebellärer) Mutismus"
"G9782","Postoperative epidurale spinale Blutung"
"G9783","Postoperative subdurale spinale Blutung"
"G9784","Postoperative subarachnoidale spinale Blutung"
"G9788","Sonstige Krankheiten des Nervensystems nach medizinischen Maßnahmen"
"G979","Krankheit des Nervensystems nach medizinischer Maßnahme, nicht näher bezeichnet"
"G98","Sonstige Krankheiten des Nervensystems, anderenorts nicht klassifiziert"
"G99","Sonstige Krankheiten des Nervensystems bei anderenorts klassifizierten Krankheiten"
"G990","Autonome Neuropathie bei endokrinen und Stoffwechselkrankheiten"
"G991","Sonstige Krankheiten des autonomen Nervensystems bei sonstigen anderenorts klassifizierten Krankheiten"
"G992","Myelopathie bei anderenorts klassifizierten Krankheiten"
"G998","Sonstige näher bezeichnete Krankheiten des Nervensystems bei anderenorts klassifizierten Krankheiten"
"H00","Hordeolum und Chalazion"
"H000","Hordeolum und sonstige tiefe Entzündung des Augenlides"
"H001","Chalazion"
"H01","Sonstige Entzündung des Augenlides"
"H010","Blepharitis"
"H011","Nichtinfektiöse Dermatosen des Augenlides"
"H018","Sonstige näher bezeichnete Entzündungen des Augenlides"
"H019","Entzündung des Augenlides, nicht näher bezeichnet"
"H02","Sonstige Affektionen des Augenlides"
"H020","Entropium und Trichiasis des Augenlides"
"H021","Ektropium des Augenlides"
"H022","Lagophthalmus"
"H023","Blepharochalasis"
"H024","Ptosis des Augenlides"
"H025","Sonstige Affektionen mit Auswirkung auf die Augenlidfunktion"
"H026","Xanthelasma palpebrarum"
"H027","Sonstige degenerative Affektionen des Augenlides und der Umgebung des Auges"
"H028","Sonstige näher bezeichnete Affektionen des Augenlides"
"H029","Affektion des Augenlides, nicht näher bezeichnet"
"H03","Affektionen des Augenlides bei anderenorts klassifizierten Krankheiten"
"H030","Parasitenbefall des Augenlides bei anderenorts klassifizierten Krankheiten"
"H031","Beteiligung des Augenlides bei sonstigen anderenorts klassifizierten Infektionskrankheiten"
"H038","Beteiligung des Augenlides bei sonstigen anderenorts klassifizierten Krankheiten"
"H04","Affektionen des Tränenapparates"
"H040","Dakryoadenitis"
"H041","Sonstige Affektionen der Tränendrüse"
"H042","Epiphora"
"H043","Akute und nicht näher bezeichnete Entzündung der Tränenwege"
"H044","Chronische Entzündung der Tränenwege"
"H045","Stenose und Insuffizienz der Tränenwege"
"H046","Sonstige Veränderungen an den Tränenwegen"
"H048","Sonstige Affektionen des Tränenapparates"
"H049","Affektion des Tränenapparates, nicht näher bezeichnet"
"H05","Affektionen der Orbita"
"H050","Akute Entzündung der Orbita"
"H051","Chronische entzündliche Affektionen der Orbita"
"H052","Exophthalmus"
"H053","Deformation der Orbita"
"H054","Enophthalmus"
"H055","Verbliebener (alter) Fremdkörper nach perforierender Verletzung der Orbita"
"H058","Sonstige Affektionen der Orbita"
"H059","Affektion der Orbita, nicht näher bezeichnet"
"H06","Affektionen des Tränenapparates und der Orbita bei anderenorts klassifizierten Krankheiten"
"H060","Affektionen des Tränenapparates bei anderenorts klassifizierten Krankheiten"
"H061","Parasitenbefall der Orbita bei anderenorts klassifizierten Krankheiten"
"H062","Exophthalmus bei Funktionsstörung der Schilddrüse"
"H063","Sonstige Affektionen der Orbita bei anderenorts klassifizierten Krankheiten"
"H10","Konjunktivitis"
"H100","Mukopurulente Konjunktivitis"
"H101","Akute allergische Konjunktivitis"
"H102","Sonstige akute Konjunktivitis"
"H103","Akute Konjunktivitis, nicht näher bezeichnet"
"H104","Chronische Konjunktivitis"
"H105","Blepharokonjunktivitis"
"H108","Sonstige Konjunktivitis"
"H109","Konjunktivitis, nicht näher bezeichnet"
"H11","Sonstige Affektionen der Konjunktiva"
"H110","Pterygium"
"H111","Konjunktivadegeneration und -einlagerungen"
"H112","Narben der Konjunktiva"
"H113","Blutung der Konjunktiva"
"H114","Sonstige Gefäßkrankheiten und Zysten der Konjunktiva"
"H118","Sonstige näher bezeichnete Affektionen der Konjunktiva"
"H119","Affektion der Konjunktiva, nicht näher bezeichnet"
"H13","Affektionen der Konjunktiva bei anderenorts klassifizierten Krankheiten"
"H130","Filarienbefall der Konjunktiva"
"H131","Konjunktivitis bei anderenorts klassifizierten infektiösen und parasitären Krankheiten"
"H132","Konjunktivitis bei sonstigen anderenorts klassifizierten Krankheiten"
"H133","Okuläres Pemphigoid"
"H138","Sonstige Affektionen der Konjunktiva bei anderenorts klassifizierten Krankheiten"
"H15","Affektionen der Sklera"
"H150","Skleritis"
"H151","Episkleritis"
"H158","Sonstige Affektionen der Sklera"
"H159","Affektion der Sklera, nicht näher bezeichnet"
"H16","Keratitis"
"H160","Ulcus corneae"
"H161","Sonstige oberflächliche Keratitis ohne Konjunktivitis"
"H162","Keratokonjunktivitis"
"H163","Interstitielle und tiefe Keratitis"
"H164","Neovaskularisation der Hornhaut"
"H168","Sonstige Formen der Keratitis"
"H169","Keratitis, nicht näher bezeichnet"
"H17","Hornhautnarben und -trübungen"
"H170","Leukoma adhaerens"
"H171","Sonstige zentrale Hornhauttrübung"
"H178","Sonstige Hornhautnarben und -trübungen"
"H179","Hornhautnarbe und -trübung, nicht näher bezeichnet"
"H18","Sonstige Affektionen der Hornhaut"
"H180","Hornhautpigmentierungen und -einlagerungen"
"H181","Keratopathia bullosa"
"H182","Sonstiges Hornhautödem"
"H183","Veränderungen an den Hornhautmembranen"
"H184","Hornhautdegeneration"
"H185","Hereditäre Hornhautdystrophien"
"H186","Keratokonus"
"H187","Sonstige Hornhautdeformitäten"
"H188","Sonstige näher bezeichnete Affektionen der Hornhaut"
"H189","Affektion der Hornhaut, nicht näher bezeichnet"
"H19","Affektionen der Sklera und der Hornhaut bei anderenorts klassifizierten Krankheiten"
"H190","Skleritis und Episkleritis bei anderenorts klassifizierten Krankheiten"
"H191","Keratitis und Keratokonjunktivitis durch Herpesviren"
"H192","Keratitis und Keratokonjunktivitis bei sonstigen anderenorts klassifizierten infektiösen und parasitären Krankheiten"
"H193","Keratitis und Keratokonjunktivitis bei sonstigen anderenorts klassifizierten Krankheiten"
"H198","Sonstige Affektionen der Sklera und der Hornhaut bei anderenorts klassifizierten Krankheiten"
"H20","Iridozyklitis"
"H200","Akute und subakute Iridozyklitis"
"H201","Chronische Iridozyklitis"
"H202","Phakogene Iridozyklitis"
"H208","Sonstige Iridozyklitis"
"H209","Iridozyklitis, nicht näher bezeichnet"
"H21","Sonstige Affektionen der Iris und des Ziliarkörpers"
"H210","Hyphäma"
"H211","Sonstige Gefäßkrankheiten der Iris und des Ziliarkörpers"
"H212","Degeneration der Iris und des Ziliarkörpers"
"H213","Zyste der Iris, des Ziliarkörpers und der Vorderkammer"
"H214","Pupillarmembranen"
"H215","Sonstige Adhäsionen und Abriss der Iris und des Ziliarkörpers"
"H218","Sonstige näher bezeichnete Affektionen der Iris und des Ziliarkörpers"
"H219","Affektion der Iris und des Ziliarkörpers, nicht näher bezeichnet"
"H22","Affektionen der Iris und des Ziliarkörpers bei anderenorts klassifizierten Krankheiten"
"H220","Iridozyklitis bei anderenorts klassifizierten infektiösen und parasitären Krankheiten"
"H221","Iridozyklitis bei sonstigen anderenorts klassifizierten Krankheiten"
"H228","Sonstige Affektionen der Iris und des Ziliarkörpers bei anderenorts klassifizierten Krankheiten"
"H25","Cataracta senilis"
"H250","Cataracta senilis incipiens"
"H251","Cataracta nuclearis senilis"
"H252","Cataracta senilis, Morgagni-Typ"
"H258","Sonstige senile Kataraktformen"
"H259","Senile Katarakt, nicht näher bezeichnet"
"H26","Sonstige Kataraktformen"
"H260","Infantile, juvenile und präsenile Katarakt"
"H261","Cataracta traumatica"
"H262","Cataracta complicata"
"H263","Arzneimittelinduzierte Katarakt"
"H264","Cataracta secundaria"
"H268","Sonstige näher bezeichnete Kataraktformen"
"H269","Katarakt, nicht näher bezeichnet"
"H27","Sonstige Affektionen der Linse"
"H270","Aphakie"
"H271","Luxation der Linse"
"H278","Sonstige näher bezeichnete Affektionen der Linse"
"H279","Affektion der Linse, nicht näher bezeichnet"
"H28","Katarakt und sonstige Affektionen der Linse bei anderenorts klassifizierten Krankheiten"
"H280","Diabetische Katarakt"
"H281","Katarakt bei sonstigen endokrinen, Ernährungs- und Stoffwechselkrankheiten"
"H282","Katarakt bei sonstigen anderenorts klassifizierten Krankheiten"
"H288","Sonstige Affektionen der Linse bei anderenorts klassifizierten Krankheiten"
"H30","Chorioretinitis"
"H300","Fokale Chorioretinitis"
"H301","Disseminierte Chorioretinitis"
"H302","Cyclitis posterior"
"H308","Sonstige Chorioretinitiden"
"H309","Chorioretinitis, nicht näher bezeichnet"
"H31","Sonstige Affektionen der Aderhaut"
"H310","Chorioretinale Narben"
"H311","Degenerative Veränderung der Aderhaut"
"H312","Hereditäre Dystrophie der Aderhaut"
"H313","Blutung und Ruptur der Aderhaut"
"H314","Ablatio chorioideae"
"H318","Sonstige näher bezeichnete Affektionen der Aderhaut"
"H319","Affektion der Aderhaut, nicht näher bezeichnet"
"H32","Chorioretinale Affektionen bei anderenorts klassifizierten Krankheiten"
"H320","Chorioretinitis bei anderenorts klassifizierten infektiösen und parasitären Krankheiten"
"H328","Sonstige chorioretinale Affektionen bei anderenorts klassifizierten Krankheiten"
"H33","Netzhautablösung und Netzhautriss"
"H330","Netzhautablösung mit Netzhautriss"
"H331","Retinoschisis und Zysten der Netzhaut"
"H332","Seröse Netzhautablösung"
"H333","Netzhautriss ohne Netzhautablösung"
"H334","Traktionsablösung der Netzhaut"
"H335","Sonstige Netzhautablösungen"
"H34","Netzhautgefäßverschluss"
"H340","Transitorischer arterieller retinaler Gefäßverschluss"
"H341","Verschluss der A. centralis retinae"
"H342","Sonstiger Verschluss retinaler Arterien"
"H348","Sonstiger Netzhautgefäßverschluss"
"H349","Netzhautgefäßverschluss, nicht näher bezeichnet"
"H35","Sonstige Affektionen der Netzhaut"
"H350","Retinopathien des Augenhintergrundes und Veränderungen der Netzhautgefäße"
"H351","Retinopathia praematurorum"
"H352","Sonstige proliferative Retinopathie"
"H353","Degeneration der Makula und des hinteren Poles"
"H3530","Altersbedingte feuchte Makuladegeneration"
"H3531","Altersbedingte trockene Makuladegeneration"
"H3538","Sonstige Degeneration der Makula und des hinteren Poles"
"H3539","Degeneration der Makula und des hinteren Poles, nicht näher bezeichnet"
"H354","Periphere Netzhautdegeneration"
"H355","Hereditäre Netzhautdystrophie"
"H356","Netzhautblutung"
"H357","Abhebung von Netzhautschichten"
"H358","Sonstige näher bezeichnete Affektionen der Netzhaut"
"H359","Affektion der Netzhaut, nicht näher bezeichnet"
"H36","Affektionen der Netzhaut bei anderenorts klassifizierten Krankheiten"
"H360","Retinopathia diabetica"
"H368","Sonstige Affektionen der Netzhaut bei anderenorts klassifizierten Krankheiten"
"H40","Glaukom"
"H400","Glaukomverdacht"
"H401","Primäres Weitwinkelglaukom"
"H402","Primäres Engwinkelglaukom"
"H403","Glaukom (sekundär) nach Verletzung des Auges"
"H404","Glaukom (sekundär) nach Entzündung des Auges"
"H405","Glaukom (sekundär) nach sonstigen Affektionen des Auges"
"H406","Glaukom (sekundär) nach Arzneimittelverabreichung"
"H408","Sonstiges Glaukom"
"H409","Glaukom, nicht näher bezeichnet"
"H42","Glaukom bei anderenorts klassifizierten Krankheiten"
"H420","Glaukom bei endokrinen, Ernährungs- und Stoffwechselkrankheiten"
"H428","Glaukom bei sonstigen anderenorts klassifizierten Krankheiten"
"H43","Affektionen des Glaskörpers"
"H430","Glaskörperprolaps"
"H431","Glaskörperblutung"
"H432","Kristalline Ablagerungen im Glaskörper"
"H433","Sonstige Glaskörpertrübungen"
"H438","Sonstige Affektionen des Glaskörpers"
"H439","Affektion des Glaskörpers, nicht näher bezeichnet"
"H44","Affektionen des Augapfels"
"H440","Purulente Endophthalmitis"
"H441","Sonstige Endophthalmitis"
"H442","Degenerative Myopie"
"H443","Sonstige degenerative Affektionen des Augapfels"
"H444","Hypotonia bulbi"
"H445","Degenerationszustände des Augapfels"
"H446","Verbliebener (alter) magnetischer intraokularer Fremdkörper"
"H447","Verbliebener (alter) amagnetischer intraokularer Fremdkörper"
"H448","Sonstige Affektionen des Augapfels"
"H449","Affektion des Augapfels, nicht näher bezeichnet"
"H45","Affektionen des Glaskörpers und des Augapfels bei anderenorts klassifizierten Krankheiten"
"H450","Glaskörperblutung bei anderenorts klassifizierten Krankheiten"
"H451","Endophthalmitis bei anderenorts klassifizierten Krankheiten"
"H458","Sonstige Affektionen des Glaskörpers und des Augapfels bei anderenorts klassifizierten Krankheiten"
"H46","Neuritis nervi optici"
"H47","Sonstige Affektionen des N. opticus [II. Hirnnerv] und der Sehbahn"
"H470","Affektionen des N. opticus, anderenorts nicht klassifiziert"
"H471","Stauungspapille, nicht näher bezeichnet"
"H472","Optikusatrophie"
"H473","Sonstige Affektionen der Papille"
"H474","Affektionen des Chiasma opticum"
"H475","Affektionen sonstiger Teile der Sehbahn"
"H476","Affektionen der Sehrinde"
"H477","Affektion der Sehbahn, nicht näher bezeichnet"
"H48","Affektionen des N. opticus [II. Hirnnerv] und der Sehbahn bei anderenorts klassifizierten Krankheiten"
"H480","Optikusatrophie bei anderenorts klassifizierten Krankheiten"
"H481","Retrobulbäre Neuritis bei anderenorts klassifizierten Krankheiten"
"H488","Sonstige Affektionen des N. opticus und der Sehbahn bei anderenorts klassifizierten Krankheiten"
"H49","Strabismus paralyticus"
"H490","Lähmung des N. oculomotorius [III. Hirnnerv]"
"H491","Lähmung des N. trochlearis [IV. Hirnnerv]"
"H492","Lähmung des N. abducens [VI. Hirnnerv]"
"H493","Ophthalmoplegia totalis externa"
"H494","Ophthalmoplegia progressiva externa"
"H498","Sonstiger Strabismus paralyticus"
"H499","Strabismus paralyticus, nicht näher bezeichnet"
"H50","Sonstiger Strabismus"
"H500","Strabismus concomitans convergens"
"H501","Strabismus concomitans divergens"
"H502","Strabismus verticalis"
"H503","Intermittierender Strabismus concomitans"
"H504","Sonstiger und nicht näher bezeichneter Strabismus concomitans"
"H505","Heterophorie"
"H506","Mechanisch bedingter Strabismus"
"H508","Sonstiger näher bezeichneter Strabismus"
"H509","Strabismus, nicht näher bezeichnet"
"H51","Sonstige Störungen der Blickbewegungen"
"H510","Konjugierte Blicklähmung"
"H511","Konvergenzschwäche und Konvergenzexzess"
"H512","Internukleäre Ophthalmoplegie"
"H518","Sonstige näher bezeichnete Störungen der Blickbewegungen"
"H519","Störung der Blickbewegungen, nicht näher bezeichnet"
"H52","Akkommodationsstörungen und Refraktionsfehler"
"H520","Hypermetropie"
"H521","Myopie"
"H522","Astigmatismus"
"H523","Anisometropie und Aniseikonie"
"H524","Presbyopie"
"H525","Akkommodationsstörungen"
"H526","Sonstige Refraktionsfehler"
"H527","Refraktionsfehler, nicht näher bezeichnet"
"H53","Sehstörungen"
"H530","Amblyopia ex anopsia"
"H531","Subjektive Sehstörungen"
"H532","Diplopie"
"H533","Sonstige Störungen des binokularen Sehens"
"H534","Gesichtsfelddefekte"
"H535","Farbsinnstörungen"
"H536","Nachtblindheit"
"H538","Sonstige Sehstörungen"
"H539","Sehstörung, nicht näher bezeichnet"
"H54","Blindheit und Sehbeeinträchtigung"
"H540","Blindheit und hochgradige Sehbehinderung, binokular"
"H541","Schwere Sehbeeinträchtigung, binokular"
"H542","Mittelschwere Sehbeeinträchtigung, binokular"
"H543","Leichte Sehbeeinträchtigung, binokular"
"H544","Blindheit und hochgradige Sehbehinderung, monokular"
"H545","Schwere Sehbeeinträchtigung, monokular"
"H546","Mittelschwere Sehbeeinträchtigung, monokular"
"H549","Nicht näher bezeichnete Sehbeeinträchtigung (binokular)"
"H55","Nystagmus und sonstige abnorme Augenbewegungen"
"H57","Sonstige Affektionen des Auges und der Augenanhangsgebilde"
"H570","Pupillenfunktionsstörungen"
"H571","Augenschmerzen"
"H578","Sonstige näher bezeichnete Affektionen des Auges und der Augenanhangsgebilde"
"H579","Affektion des Auges und der Augenanhangsgebilde, nicht näher bezeichnet"
"H58","Sonstige Affektionen des Auges und der Augenanhangsgebilde bei anderenorts klassifizierten Krankheiten"
